"year","departure","N"
2001,"Retired",143
2001,"Dismissed - Performance",52
2001,"CEO Pursued New Venture",92
2001,"Pursued New Venture",8
2001,"Dismissed - Legal Reasons",9
2001,"Illness",4
2001,"Death",4
2002,"Retired",121
2002,"CEO Pursued New Venture",48
2002,"Dismissed - Performance",54
2002,"Dismissed - Legal Reasons",14
2002,"Death",2
2002,"Illness",1
2002,"Pursued New Venture",5
2003,"CEO Pursued New Venture",46
2003,"Dismissed - Performance",52
2003,"Retired",117
2003,"Death",2
2003,"Illness",3
2003,"Dismissed - Legal Reasons",10
2003,"Pursued New Venture",6
2004,"Retired",128
2004,"CEO Pursued New Venture",67
2004,"Dismissed - Legal Reasons",10
2004,"Dismissed - Performance",39
2004,"Death",2
2004,"Illness",8
2004,"Pursued New Venture",8
2005,"Dismissed - Legal Reasons",15
2005,"Retired",166
2005,"CEO Pursued New Venture",79
2005,"Dismissed - Performance",52
2005,"Death",1
2005,"Pursued New Venture",9
2005,"Illness",2
2006,"Retired",132
2006,"CEO Pursued New Venture",91
2006,"Dismissed - Performance",49
2006,"Dismissed - Legal Reasons",14
2006,"Pursued New Venture",6
2006,"Death",3
2006,"Illness",2
2007,"Retired",139
2007,"CEO Pursued New Venture",102
2007,"Dismissed - Performance",50
2007,"Illness",5
2007,"Death",3
2007,"Dismissed - Legal Reasons",10
2007,"Pursued New Venture",9
2008,"Retired",155
2008,"Illness",3
2008,"Dismissed - Performance",77
2008,"CEO Pursued New Venture",94
2008,"Dismissed - Legal Reasons",5
2008,"Death",1
2008,"Pursued New Venture",7
2009,"CEO Pursued New Venture",62
2009,"Retired",116
2009,"Dismissed - Performance",55
2009,"Dismissed - Legal Reasons",11
2009,"Death",1
2009,"Pursued New Venture",10
2010,"CEO Pursued New Venture",73
2010,"Retired",112
2010,"Dismissed - Performance",44
2010,"Illness",4
2010,"Dismissed - Legal Reasons",9
2010,"Death",5
2010,"Pursued New Venture",7
2011,"Retired",138
2011,"Dismissed - Performance",51
2011,"CEO Pursued New Venture",83
2011,"Illness",9
2011,"Dismissed - Legal Reasons",6
2011,"Pursued New Venture",14
2011,"Death",1
2012,"Retired",123
2012,"Dismissed - Legal Reasons",10
2012,"CEO Pursued New Venture",79
2012,"Death",4
2012,"Dismissed - Performance",56
2012,"Illness",7
2012,"Pursued New Venture",8
2013,"CEO Pursued New Venture",67
2013,"Retired",146
2013,"Death",2
2013,"Pursued New Venture",8
2013,"Dismissed - Performance",49
2013,"Dismissed - Legal Reasons",5
2013,"Illness",6
2014,"Retired",127
2014,"Dismissed - Performance",54
2014,"CEO Pursued New Venture",64
2014,"Death",3
2014,"Dismissed - Legal Reasons",1
2014,"Pursued New Venture",7
2014,"Illness",1
2015,"Retired",154
2015,"CEO Pursued New Venture",85
2015,"Dismissed - Performance",58
2015,"Death",2
2015,"Illness",4
2015,"Pursued New Venture",5
2015,"Dismissed - Legal Reasons",8
2016,"Retired",131
2016,"Pursued New Venture",3
2016,"Dismissed - Performance",57
2016,"CEO Pursued New Venture",105
2016,"Illness",5
2016,"Dismissed - Legal Reasons",9
2016,"Death",2
2017,"Retired",114
2017,"CEO Pursued New Venture",90
2017,"Death",8
2017,"Dismissed - Performance",51
2017,"Dismissed - Legal Reasons",8
2017,"Illness",7
2017,"Pursued New Venture",15
2018,"Retired",138
2018,"CEO Pursued New Venture",85
2018,"Illness",6
2018,"Dismissed - Performance",56
2018,"Dismissed - Legal Reasons",12
2018,"Death",1
2018,"Pursued New Venture",6
2019,"Retired",78
2019,"CEO Pursued New Venture",86
2019,"Dismissed - Performance",38
2019,"Pursued New Venture",3
2019,"Illness",4
2019,"Dismissed - Legal Reasons",2
2019,"Death",1
