"name","code","row","col","N"
"Algeria","DZ","A","C",14
"Angola","AO","G","D",5
"Benin","BJ","C","E",0
"Botswana","BW","H","E",0
"Burkina Faso","BF","C","D",818
"Burundi","BI","F","E",2
"Cabo Verde","CV","H","A",0
"Cameroon","CM","E","D",0
"Central African Republic","CF","C","F",2447
"Chad","TD","B","E",35
"Comoros","KM","I","B",0
"Côte d'Ivoire","CI","D","C",0
"Democratic Republic of the Congo","CD","E","F",7958
"Djibouti","DJ","C","H",0
"Egypt","EG","A","F",8
"Equatorial Guinea","GQ","F","C",0
"Eritrea","ER","B","G",0
"Eswatini","SZ","I","E",23911
"Ethiopia","ET","D","G",25439
"Gabon","GA","F","D",0
"Gambia","GM","C","A",149
"Ghana","GH","D","D",20955
"Guinea","GN","C","C",0
"Guinea-Bissau","GW","C","B",0
"Kenya","KE","E","G",12142
"Lesotho","LS","I","F",0
"Liberia","LR","D","B",33765
"Libya","LY","A","E",0
"Madagascar","MG","G","I",800
"Malawi","MW","G","F",0
"Mali","ML","B","C",648
"Mauritania","MR","B","B",7
"Mauritius","MU","J","A",0
"Morocco","MA","A","B",0
"Mozambique","MZ","G","G",2478
"Namibia","NAM","H","D",21
"Niger","NE","B","D",1101
"Nigeria","NG","E","C",83699
"Republic of the Congo","CG","E","E",29
"Rwanda","RW","F","F",2950
"Senegal","SN","B","A",0
"Seychelles","SC","J","B",0
"Sierra Leone","SL","D","A",67700
"Somalia","SO","D","H",0
"South Africa","ZA","J","E",15
"South Sudan","SS","C","G",2362
"Sudan","SD","B","F",34
"São Tomé and Principe","ST","I","A",0
"Tanzania","TZ","F","G",191
"Togo","TG","D","E",0
"Tunisia","TN","A","D",0
"Uganda","UG","D","F",119651
"Zambia","ZM","G","E",9091
"Zimbabwe","ZW","H","F",23695
